epoch,step,eval_perplexity
0.21557856976553674,500,15.09661618385543
0.21557856976553674,500,15.09661618385543
0.4311571395310735,1000,12.912536877748135
0.4311571395310735,1000,12.912536877748135
0.6467357092966103,1500,12.695294256466488
0.6467357092966103,1500,12.695294256466488
0.862314279062147,2000,11.283365841350925
0.862314279062147,2000,11.283365841350925
1.0776082851155933,2500,10.055349218925503
1.0776082851155933,2500,10.055349218925503
1.29318685488113,3000,9.377374751901222
1.29318685488113,3000,9.377374751901222
