epoch,step,eval_perplexity
0.21557856976553674,500,15.993203775175393
0.21557856976553674,500,15.993203775175393
0.4311571395310735,1000,12.591469271216724
0.4311571395310735,1000,12.591469271216724
0.6467357092966103,1500,11.584084936201116
0.6467357092966103,1500,11.584084936201116
0.862314279062147,2000,10.54518648483711
0.862314279062147,2000,10.54518648483711
1.0776082851155933,2500,9.703470327664219
1.0776082851155933,2500,9.703470327664219
1.29318685488113,3000,9.232848290923766
1.29318685488113,3000,9.232848290923766
