epoch,step,eval_perplexity
0.21557856976553674,500,21.235095074560075
0.21557856976553674,500,21.235095074560075
0.4311571395310735,1000,18.54582937381354
0.4311571395310735,1000,18.54582937381354
0.6467357092966103,1500,17.314377533064402
0.6467357092966103,1500,17.314377533064402
0.862314279062147,2000,14.93973666381937
0.862314279062147,2000,14.93973666381937
1.0776082851155933,2500,12.76956724664828
1.0776082851155933,2500,12.76956724664828
1.29318685488113,3000,12.18777264027957
1.29318685488113,3000,12.18777264027957
