epoch,step,eval_perplexity
0.03983547946978977,500,nan
0.03983547946978977,500,nan
0.03983547946978977,500,nan
0.03983547946978977,500,nan
0.07967095893957954,1000,nan
0.07967095893957954,1000,nan
0.07967095893957954,1000,nan
0.07967095893957954,1000,nan
0.11950643840936931,1500,nan
0.11950643840936931,1500,nan
0.11950643840936931,1500,nan
0.11950643840936931,1500,nan
0.15934191787915908,2000,nan
0.15934191787915908,2000,nan
0.15934191787915908,2000,nan
0.15934191787915908,2000,nan
0.19917739734894885,2500,nan
0.19917739734894885,2500,nan
0.19917739734894885,2500,nan
0.19917739734894885,2500,nan
0.23901287681873862,3000,nan
0.23901287681873862,3000,nan
0.23901287681873862,3000,nan
0.23901287681873862,3000,nan
0.2788483562885284,3500,nan
0.2788483562885284,3500,nan
0.2788483562885284,3500,nan
0.2788483562885284,3500,nan
0.31868383575831816,4000,nan
0.31868383575831816,4000,nan
0.31868383575831816,4000,nan
0.31868383575831816,4000,nan
